==((====))==  Unsloth - 2x faster free finetuning | Num GPUs = 1
   \\   /|    Num examples = 10,047 | Num Epochs = 25
O^O/ \_/ \    Batch size per device = 128 | Gradient Accumulation steps = 2
\        /    Total batch size = 256 | Total steps = 975
 "-____-"     Number of trainable parameters = 24,313,856
[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                                                                                       
{'loss': 2.5722, 'grad_norm': 0.3769890069961548, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 1.9479, 'grad_norm': 0.4556208550930023, 'learning_rate': 9.997377845227576e-05, 'epoch': 0.38}
{'loss': 1.8974, 'grad_norm': 0.4011286199092865, 'learning_rate': 9.99682725096819e-05, 'epoch': 0.41}
{'loss': 1.8475, 'grad_norm': 0.3472662568092346, 'learning_rate': 9.996224242355399e-05, 'epoch': 0.43}
{'loss': 1.7818, 'grad_norm': 0.3005758821964264, 'learning_rate': 9.995568825714479e-05, 'epoch': 0.46}
{'loss': 1.7612, 'grad_norm': 0.3264469802379608, 'learning_rate': 9.99486100792044e-05, 'epoch': 0.48}
{'loss': 1.7542, 'grad_norm': 0.3095273971557617, 'learning_rate': 9.994100796397954e-05, 'epoch': 0.51}
{'loss': 1.7278, 'grad_norm': 0.2263907790184021, 'learning_rate': 9.993288199121283e-05, 'epoch': 0.53}
{'loss': 1.7185, 'grad_norm': 0.20704148709774017, 'learning_rate': 9.992423224614185e-05, 'epoch': 0.56}
{'loss': 1.6878, 'grad_norm': 0.18977773189544678, 'learning_rate': 9.991505881949837e-05, 'epoch': 0.58}
{'loss': 1.6525, 'grad_norm': 0.18100382387638092, 'learning_rate': 9.990536180750725e-05, 'epoch': 0.61}
{'loss': 1.6543, 'grad_norm': 0.20289504528045654, 'learning_rate': 9.989514131188559e-05, 'epoch': 0.63}
{'loss': 1.6601, 'grad_norm': 0.19352273643016815, 'learning_rate': 9.988439743984154e-05, 'epoch': 0.66}
{'loss': 1.6503, 'grad_norm': 0.18932905793190002, 'learning_rate': 9.987313030407323e-05, 'epoch': 0.68}
{'loss': 1.6635, 'grad_norm': 0.2089918851852417, 'learning_rate': 9.98613400227676e-05, 'epoch': 0.71}
{'loss': 1.6535, 'grad_norm': 0.17999953031539917, 'learning_rate': 9.984902671959911e-05, 'epoch': 0.73}
{'loss': 1.6622, 'grad_norm': 0.15054625272750854, 'learning_rate': 9.983619052372848e-05, 'epoch': 0.76}
{'loss': 1.6498, 'grad_norm': 0.14852650463581085, 'learning_rate': 9.982283156980132e-05, 'epoch': 0.78}
{'loss': 1.596, 'grad_norm': 0.14160959422588348, 'learning_rate': 9.980894999794678e-05, 'epoch': 0.81}
{'loss': 1.6187, 'grad_norm': 0.1384960561990738, 'learning_rate': 9.979454595377594e-05, 'epoch': 0.84}
{'loss': 1.6292, 'grad_norm': 0.12447530776262283, 'learning_rate': 9.97796195883804e-05, 'epoch': 0.86}
{'loss': 1.641, 'grad_norm': 0.13015593588352203, 'learning_rate': 9.97641710583307e-05, 'epoch': 0.89}
{'loss': 1.6228, 'grad_norm': 0.14306248724460602, 'learning_rate': 9.974820052567459e-05, 'epoch': 0.91}
{'loss': 1.6042, 'grad_norm': 0.12960006296634674, 'learning_rate': 9.973170815793543e-05, 'epoch': 0.94}
{'loss': 1.5895, 'grad_norm': 0.13435335457324982, 'learning_rate': 9.971469412811032e-05, 'epoch': 0.96}
{'loss': 1.6161, 'grad_norm': 0.12636122107505798, 'learning_rate': 9.96971586146684e-05, 'epoch': 0.99}
{'loss': 2.3431, 'grad_norm': 0.20793209969997406, 'learning_rate': 9.967910180154889e-05, 'epoch': 1.01}
{'loss': 1.532, 'grad_norm': 0.12679779529571533, 'learning_rate': 9.966052387815923e-05, 'epoch': 1.04}
{'loss': 1.5156, 'grad_norm': 0.13341964781284332, 'learning_rate': 9.964142503937305e-05, 'epoch': 1.06}
{'loss': 1.6753, 'grad_norm': 0.15038716793060303, 'learning_rate': 9.962180548552812e-05, 'epoch': 1.09}
{'loss': 1.6056, 'grad_norm': 0.14500434696674347, 'learning_rate': 9.960166542242429e-05, 'epoch': 1.11}
{'loss': 1.5463, 'grad_norm': 0.13304050266742706, 'learning_rate': 9.958100506132127e-05, 'epoch': 1.14}
{'loss': 1.6127, 'grad_norm': 0.14319010078907013, 'learning_rate': 9.955982461893648e-05, 'epoch': 1.16}
{'loss': 1.5149, 'grad_norm': 0.14348392188549042, 'learning_rate': 9.953812431744276e-05, 'epoch': 1.19}
{'loss': 1.6425, 'grad_norm': 0.14330489933490753, 'learning_rate': 9.951590438446597e-05, 'epoch': 1.22}
{'loss': 1.5917, 'grad_norm': 0.14549976587295532, 'learning_rate': 9.949316505308271e-05, 'epoch': 1.24}
{'loss': 1.5475, 'grad_norm': 0.15282009541988373, 'learning_rate': 9.946990656181781e-05, 'epoch': 1.27}
{'loss': 1.5461, 'grad_norm': 0.1772226244211197, 'learning_rate': 9.944612915464183e-05, 'epoch': 1.29}
{'loss': 1.5786, 'grad_norm': 0.18552841246128082, 'learning_rate': 9.942183308096853e-05, 'epoch': 1.32}
{'loss': 1.5653, 'grad_norm': 0.1879248172044754, 'learning_rate': 9.93970185956522e-05, 'epoch': 1.34}
{'loss': 1.4737, 'grad_norm': 0.19849751889705658, 'learning_rate': 9.93716859589851e-05, 'epoch': 1.37}
{'loss': 1.5999, 'grad_norm': 0.21535666286945343, 'learning_rate': 9.934583543669453e-05, 'epoch': 1.39}
{'loss': 1.5226, 'grad_norm': 0.241155207157135, 'learning_rate': 9.931946729994031e-05, 'epoch': 1.42}
{'loss': 1.4636, 'grad_norm': 0.2529458999633789, 'learning_rate': 9.929258182531167e-05, 'epoch': 1.44}
{'loss': 1.5673, 'grad_norm': 0.2824864685535431, 'learning_rate': 9.926517929482453e-05, 'epoch': 1.47}
{'loss': 1.5867, 'grad_norm': 0.2877291738986969, 'learning_rate': 9.923725999591847e-05, 'epoch': 1.49}
{'loss': 1.5796, 'grad_norm': 0.31269049644470215, 'learning_rate': 9.920882422145372e-05, 'epoch': 1.52}
{'loss': 1.5387, 'grad_norm': 0.3401629626750946, 'learning_rate': 9.91798722697081e-05, 'epoch': 1.54}
{'loss': 1.5651, 'grad_norm': 0.4007154107093811, 'learning_rate': 9.915040444437389e-05, 'epoch': 1.57}
{'loss': 1.5133, 'grad_norm': 0.42393583059310913, 'learning_rate': 9.912042105455463e-05, 'epoch': 1.59}
{'loss': 1.5391, 'grad_norm': 0.45562681555747986, 'learning_rate': 9.908992241476188e-05, 'epoch': 1.62}
{'loss': 1.557, 'grad_norm': 0.4298311471939087, 'learning_rate': 9.905890884491195e-05, 'epoch': 1.65}
{'loss': 1.5309, 'grad_norm': 0.29304248094558716, 'learning_rate': 9.902738067032253e-05, 'epoch': 1.67}
{'loss': 1.5249, 'grad_norm': 0.15273870527744293, 'learning_rate': 9.899533822170922e-05, 'epoch': 1.7}
{'loss': 1.5268, 'grad_norm': 0.11204273998737335, 'learning_rate': 9.896278183518216e-05, 'epoch': 1.72}
{'loss': 1.5331, 'grad_norm': 0.08610764890909195, 'learning_rate': 9.892971185224245e-05, 'epoch': 1.75}
{'loss': 1.5376, 'grad_norm': 0.08810287714004517, 'learning_rate': 9.889612861977853e-05, 'epoch': 1.77}
{'loss': 1.4996, 'grad_norm': 0.0870034322142601, 'learning_rate': 9.886203249006265e-05, 'epoch': 1.8}
{'loss': 1.4664, 'grad_norm': 0.0917859748005867, 'learning_rate': 9.882742382074707e-05, 'epoch': 1.82}
{'loss': 1.5271, 'grad_norm': 0.08727303147315979, 'learning_rate': 9.879230297486034e-05, 'epoch': 1.85}
{'loss': 1.4791, 'grad_norm': 0.09355012327432632, 'learning_rate': 9.875667032080353e-05, 'epoch': 1.87}
{'loss': 1.5568, 'grad_norm': 0.09121717512607574, 'learning_rate': 9.872052623234632e-05, 'epoch': 1.9}
{'loss': 1.5171, 'grad_norm': 0.10022353380918503, 'learning_rate': 9.868387108862307e-05, 'epoch': 1.92}
{'loss': 1.5303, 'grad_norm': 0.10187575966119766, 'learning_rate': 9.864670527412891e-05, 'epoch': 1.95}
{'loss': 1.4703, 'grad_norm': 0.09502618759870529, 'learning_rate': 9.860902917871567e-05, 'epoch': 1.97}
{'loss': 2.2093, 'grad_norm': 0.1761338710784912, 'learning_rate': 9.857084319758772e-05, 'epoch': 2.0}
{'loss': 1.5221, 'grad_norm': 0.09906042367219925, 'learning_rate': 9.853214773129796e-05, 'epoch': 2.03}
{'loss': 1.4925, 'grad_norm': 0.11147686094045639, 'learning_rate': 9.849294318574351e-05, 'epoch': 2.05}
{'loss': 1.465, 'grad_norm': 0.10137724131345749, 'learning_rate': 9.845322997216153e-05, 'epoch': 2.08}
{'loss': 1.5485, 'grad_norm': 0.12381771206855774, 'learning_rate': 9.84130085071248e-05, 'epoch': 2.1}
{'loss': 1.4865, 'grad_norm': 0.10388405621051788, 'learning_rate': 9.837227921253746e-05, 'epoch': 2.13}
{'loss': 1.53, 'grad_norm': 0.1008688285946846, 'learning_rate': 9.833104251563056e-05, 'epoch': 2.15}
{'loss': 1.5111, 'grad_norm': 0.10276404768228531, 'learning_rate': 9.828929884895752e-05, 'epoch': 2.18}
{'loss': 1.4626, 'grad_norm': 0.10934530198574066, 'learning_rate': 9.824704865038968e-05, 'epoch': 2.2}
{'loss': 1.4962, 'grad_norm': 0.10328594595193863, 'learning_rate': 9.820429236311158e-05, 'epoch': 2.23}
{'loss': 1.472, 'grad_norm': 0.09530364722013474, 'learning_rate': 9.816103043561648e-05, 'epoch': 2.25}
{'loss': 1.476, 'grad_norm': 0.0946909487247467, 'learning_rate': 9.811726332170153e-05, 'epoch': 2.28}
{'loss': 1.5055, 'grad_norm': 0.10044364631175995, 'learning_rate': 9.8072991480463e-05, 'epoch': 2.3}
{'loss': 1.5112, 'grad_norm': 0.09415937215089798, 'learning_rate': 9.802821537629161e-05, 'epoch': 2.33}
{'loss': 1.5166, 'grad_norm': 0.0966305211186409, 'learning_rate': 9.798293547886748e-05, 'epoch': 2.35}
{'loss': 1.5107, 'grad_norm': 0.11223481595516205, 'learning_rate': 9.79371522631553e-05, 'epoch': 2.38}
{'loss': 1.4937, 'grad_norm': 0.1087484136223793, 'learning_rate': 9.789086620939936e-05, 'epoch': 2.41}
{'loss': 1.5143, 'grad_norm': 0.11420296132564545, 'learning_rate': 9.784407780311845e-05, 'epoch': 2.43}
{'loss': 1.5191, 'grad_norm': 0.10468733310699463, 'learning_rate': 9.779678753510081e-05, 'epoch': 2.46}
{'loss': 1.5219, 'grad_norm': 0.11003294587135315, 'learning_rate': 9.774899590139896e-05, 'epoch': 2.48}
{'loss': 1.5168, 'grad_norm': 0.10103641450405121, 'learning_rate': 9.770070340332456e-05, 'epoch': 2.51}
{'loss': 1.4955, 'grad_norm': 0.11438559740781784, 'learning_rate': 9.765191054744305e-05, 'epoch': 2.53}
{'loss': 1.504, 'grad_norm': 0.10884495079517365, 'learning_rate': 9.760261784556839e-05, 'epoch': 2.56}
{'loss': 1.453, 'grad_norm': 0.11641117930412292, 'learning_rate': 9.755282581475769e-05, 'epoch': 2.58}
{'loss': 1.5105, 'grad_norm': 0.11398755759000778, 'learning_rate': 9.75025349773058e-05, 'epoch': 2.61}
{'loss': 1.458, 'grad_norm': 0.11694008111953735, 'learning_rate': 9.745174586073981e-05, 'epoch': 2.63}
{'loss': 1.4539, 'grad_norm': 0.105097196996212, 'learning_rate': 9.740045899781352e-05, 'epoch': 2.66}
{'loss': 1.4673, 'grad_norm': 0.1255713701248169, 'learning_rate': 9.734867492650186e-05, 'epoch': 2.68}
{'loss': 1.4835, 'grad_norm': 0.12521857023239136, 'learning_rate': 9.729639418999523e-05, 'epoch': 2.71}
{'loss': 1.4587, 'grad_norm': 0.1297805905342102, 'learning_rate': 9.724361733669381e-05, 'epoch': 2.73}
{'loss': 1.5243, 'grad_norm': 0.10972094535827637, 'learning_rate': 9.719034492020183e-05, 'epoch': 2.76}
{'loss': 1.4693, 'grad_norm': 0.144112691283226, 'learning_rate': 9.713657749932172e-05, 'epoch': 2.78}
{'loss': 1.4568, 'grad_norm': 0.12405318766832352, 'learning_rate': 9.708231563804828e-05, 'epoch': 2.81}
{'loss': 1.462, 'grad_norm': 0.12008003145456314, 'learning_rate': 9.702755990556275e-05, 'epoch': 2.84}
{'loss': 1.4553, 'grad_norm': 0.12497705221176147, 'learning_rate': 9.697231087622691e-05, 'epoch': 2.86}
{'loss': 1.4705, 'grad_norm': 0.12788881361484528, 'learning_rate': 9.691656912957685e-05, 'epoch': 2.89}
{'loss': 1.4564, 'grad_norm': 0.13155946135520935, 'learning_rate': 9.686033525031719e-05, 'epoch': 2.91}
{'loss': 1.4784, 'grad_norm': 0.12073704600334167, 'learning_rate': 9.680360982831466e-05, 'epoch': 2.94}
{'loss': 1.4563, 'grad_norm': 0.11969852447509766, 'learning_rate': 9.674639345859214e-05, 'epoch': 2.96}
{'loss': 1.4591, 'grad_norm': 0.11736289411783218, 'learning_rate': 9.668868674132224e-05, 'epoch': 2.99}
{'loss': 2.2259, 'grad_norm': 0.20813919603824615, 'learning_rate': 9.663049028182111e-05, 'epoch': 3.01}
{'loss': 1.4483, 'grad_norm': 0.13493973016738892, 'learning_rate': 9.657180469054213e-05, 'epoch': 3.04}
{'loss': 1.5266, 'grad_norm': 0.11893641948699951, 'learning_rate': 9.651263058306932e-05, 'epoch': 3.06}
{'loss': 1.4122, 'grad_norm': 0.14972227811813354, 'learning_rate': 9.645296858011109e-05, 'epoch': 3.09}
{'loss': 1.4858, 'grad_norm': 0.1222037598490715, 'learning_rate': 9.639281930749362e-05, 'epoch': 3.11}
{'loss': 1.4973, 'grad_norm': 0.14617297053337097, 'learning_rate': 9.633218339615433e-05, 'epoch': 3.14}
{'loss': 1.4623, 'grad_norm': 0.12332487851381302, 'learning_rate': 9.627106148213522e-05, 'epoch': 3.16}
{'loss': 1.4489, 'grad_norm': 0.12853530049324036, 'learning_rate': 9.620945420657624e-05, 'epoch': 3.19}
{'loss': 1.5126, 'grad_norm': 0.12319589406251907, 'learning_rate': 9.61473622157086e-05, 'epoch': 3.22}
{'loss': 1.4643, 'grad_norm': 0.12521520256996155, 'learning_rate': 9.608478616084784e-05, 'epoch': 3.24}
{'loss': 1.4641, 'grad_norm': 0.12621274590492249, 'learning_rate': 9.602172669838721e-05, 'epoch': 3.27}
{'loss': 1.4847, 'grad_norm': 0.12905268371105194, 'learning_rate': 9.595818448979061e-05, 'epoch': 3.29}
{'loss': 1.4338, 'grad_norm': 0.13105204701423645, 'learning_rate': 9.589416020158578e-05, 'epoch': 3.32}
{'loss': 1.4572, 'grad_norm': 0.12082090228796005, 'learning_rate': 9.582965450535715e-05, 'epoch': 3.34}
{'loss': 1.4705, 'grad_norm': 0.13119195401668549, 'learning_rate': 9.576466807773899e-05, 'epoch': 3.37}
{'loss': 1.4564, 'grad_norm': 0.12583090364933014, 'learning_rate': 9.569920160040815e-05, 'epoch': 3.39}
{'loss': 1.404, 'grad_norm': 0.1308329999446869, 'learning_rate': 9.563325576007701e-05, 'epoch': 3.42}
{'loss': 1.4746, 'grad_norm': 0.12539389729499817, 'learning_rate': 9.556683124848625e-05, 'epoch': 3.44}
{'loss': 1.4572, 'grad_norm': 0.13614512979984283, 'learning_rate': 9.549992876239753e-05, 'epoch': 3.47}
{'loss': 1.4616, 'grad_norm': 0.12631185352802277, 'learning_rate': 9.543254900358629e-05, 'epoch': 3.49}
{'loss': 1.4897, 'grad_norm': 0.12502703070640564, 'learning_rate': 9.536469267883433e-05, 'epoch': 3.52}
{'loss': 1.5062, 'grad_norm': 0.12651024758815765, 'learning_rate': 9.529636049992234e-05, 'epoch': 3.54}
{'loss': 1.4294, 'grad_norm': 0.13089542090892792, 'learning_rate': 9.52275531836226e-05, 'epoch': 3.57}
{'loss': 1.4854, 'grad_norm': 0.14416533708572388, 'learning_rate': 9.515827145169127e-05, 'epoch': 3.59}
{'loss': 1.4547, 'grad_norm': 0.14317923784255981, 'learning_rate': 9.508851603086093e-05, 'epoch': 3.62}
{'loss': 1.4506, 'grad_norm': 0.13601316511631012, 'learning_rate': 9.501828765283295e-05, 'epoch': 3.65}
{'loss': 1.4373, 'grad_norm': 0.13114051520824432, 'learning_rate': 9.494758705426978e-05, 'epoch': 3.67}
{'loss': 1.4795, 'grad_norm': 0.14555446803569794, 'learning_rate': 9.487641497678723e-05, 'epoch': 3.7}
{'loss': 1.4359, 'grad_norm': 0.1348554790019989, 'learning_rate': 9.480477216694673e-05, 'epoch': 3.72}
{'loss': 1.4399, 'grad_norm': 0.1327696591615677, 'learning_rate': 9.473265937624746e-05, 'epoch': 3.75}
{'loss': 1.4296, 'grad_norm': 0.13199667632579803, 'learning_rate': 9.466007736111847e-05, 'epoch': 3.77}
{'loss': 1.5025, 'grad_norm': 0.13694550096988678, 'learning_rate': 9.458702688291073e-05, 'epoch': 3.8}
{'loss': 1.3881, 'grad_norm': 0.1293196976184845, 'learning_rate': 9.45135087078892e-05, 'epoch': 3.82}
{'loss': 1.4855, 'grad_norm': 0.12646172940731049, 'learning_rate': 9.443952360722477e-05, 'epoch': 3.85}
{'loss': 1.4483, 'grad_norm': 0.13027909398078918, 'learning_rate': 9.436507235698612e-05, 'epoch': 3.87}
{'loss': 1.4561, 'grad_norm': 0.12737597525119781, 'learning_rate': 9.429015573813163e-05, 'epoch': 3.9}
{'loss': 1.4602, 'grad_norm': 0.12201134115457535, 'learning_rate': 9.421477453650118e-05, 'epoch': 3.92}
{'loss': 1.5056, 'grad_norm': 0.1378006637096405, 'learning_rate': 9.413892954280792e-05, 'epoch': 3.95}
{'loss': 1.4548, 'grad_norm': 0.13271856307983398, 'learning_rate': 9.406262155262994e-05, 'epoch': 3.97}
{'loss': 2.1632, 'grad_norm': 0.2781645655632019, 'learning_rate': 9.398585136640194e-05, 'epoch': 4.0}
{'loss': 1.4256, 'grad_norm': 0.12881074845790863, 'learning_rate': 9.390861978940686e-05, 'epoch': 4.03}
{'loss': 1.46, 'grad_norm': 0.14020220935344696, 'learning_rate': 9.38309276317674e-05, 'epoch': 4.05}
{'loss': 1.4302, 'grad_norm': 0.15398545563220978, 'learning_rate': 9.37527757084375e-05, 'epoch': 4.08}
{'loss': 1.4633, 'grad_norm': 0.15308701992034912, 'learning_rate': 9.367416483919387e-05, 'epoch': 4.1}
{'loss': 1.4369, 'grad_norm': 0.13930483162403107, 'learning_rate': 9.359509584862736e-05, 'epoch': 4.13}
{'loss': 1.4532, 'grad_norm': 0.1504131257534027, 'learning_rate': 9.351556956613423e-05, 'epoch': 4.15}
{'loss': 1.4371, 'grad_norm': 0.1434956192970276, 'learning_rate': 9.343558682590756e-05, 'epoch': 4.18}
{'loss': 1.4545, 'grad_norm': 0.16507281363010406, 'learning_rate': 9.335514846692845e-05, 'epoch': 4.2}
{'loss': 1.4619, 'grad_norm': 0.13908198475837708, 'learning_rate': 9.327425533295724e-05, 'epoch': 4.23}
{'loss': 1.4309, 'grad_norm': 0.14561612904071808, 'learning_rate': 9.31929082725246e-05, 'epoch': 4.25}
{'loss': 1.4546, 'grad_norm': 0.14146777987480164, 'learning_rate': 9.31111081389227e-05, 'epoch': 4.28}
{'loss': 1.4636, 'grad_norm': 0.13274410367012024, 'learning_rate': 9.302885579019627e-05, 'epoch': 4.3}
{'loss': 1.4569, 'grad_norm': 0.14532364904880524, 'learning_rate': 9.294615208913348e-05, 'epoch': 4.33}
{'loss': 1.4329, 'grad_norm': 0.14107970893383026, 'learning_rate': 9.286299790325708e-05, 'epoch': 4.35}
{'loss': 1.443, 'grad_norm': 0.16034507751464844, 'learning_rate': 9.277939410481507e-05, 'epoch': 4.38}
{'loss': 1.4257, 'grad_norm': 0.1529332995414734, 'learning_rate': 9.269534157077177e-05, 'epoch': 4.41}
{'loss': 1.454, 'grad_norm': 0.1467609852552414, 'learning_rate': 9.261084118279847e-05, 'epoch': 4.43}
{'loss': 1.413, 'grad_norm': 0.1412629634141922, 'learning_rate': 9.252589382726426e-05, 'epoch': 4.46}
{'loss': 1.4221, 'grad_norm': 0.1528049111366272, 'learning_rate': 9.244050039522672e-05, 'epoch': 4.48}
{'loss': 1.4551, 'grad_norm': 0.146462544798851, 'learning_rate': 9.235466178242254e-05, 'epoch': 4.51}
{'loss': 1.4392, 'grad_norm': 0.1441800594329834, 'learning_rate': 9.226837888925813e-05, 'epoch': 4.53}
{'loss': 1.4642, 'grad_norm': 0.14796777069568634, 'learning_rate': 9.218165262080023e-05, 'epoch': 4.56}
{'loss': 1.4465, 'grad_norm': 0.14893049001693726, 'learning_rate': 9.209448388676635e-05, 'epoch': 4.58}
{'loss': 1.4707, 'grad_norm': 0.15283069014549255, 'learning_rate': 9.200687360151528e-05, 'epoch': 4.61}
{'loss': 1.4371, 'grad_norm': 0.15022379159927368, 'learning_rate': 9.191882268403743e-05, 'epoch': 4.63}
{'loss': 1.4365, 'grad_norm': 0.14948640763759613, 'learning_rate': 9.183033205794525e-05, 'epoch': 4.66}
{'loss': 1.4325, 'grad_norm': 0.16668452322483063, 'learning_rate': 9.174140265146356e-05, 'epoch': 4.68}
{'loss': 1.4485, 'grad_norm': 0.18408998847007751, 'learning_rate': 9.165203539741976e-05, 'epoch': 4.71}
{'loss': 1.4526, 'grad_norm': 0.15199130773544312, 'learning_rate': 9.156223123323405e-05, 'epoch': 4.73}
{'loss': 1.4874, 'grad_norm': 0.15702976286411285, 'learning_rate': 9.147199110090959e-05, 'epoch': 4.76}
{'loss': 1.4514, 'grad_norm': 0.16682690382003784, 'learning_rate': 9.13813159470227e-05, 'epoch': 4.78}
{'loss': 1.4339, 'grad_norm': 0.17213641107082367, 'learning_rate': 9.129020672271283e-05, 'epoch': 4.81}
{'loss': 1.3857, 'grad_norm': 0.158595472574234, 'learning_rate': 9.119866438367263e-05, 'epoch': 4.84}
{'loss': 1.4034, 'grad_norm': 0.1801205277442932, 'learning_rate': 9.110668989013791e-05, 'epoch': 4.86}
{'loss': 1.417, 'grad_norm': 0.14421309530735016, 'learning_rate': 9.101428420687759e-05, 'epoch': 4.89}
{'loss': 1.4227, 'grad_norm': 0.1577128767967224, 'learning_rate': 9.092144830318358e-05, 'epoch': 4.91}
{'loss': 1.4471, 'grad_norm': 0.1538751721382141, 'learning_rate': 9.082818315286055e-05, 'epoch': 4.94}
{'loss': 1.3946, 'grad_norm': 0.14889155328273773, 'learning_rate': 9.073448973421582e-05, 'epoch': 4.96}
{'loss': 1.4564, 'grad_norm': 0.15288898348808289, 'learning_rate': 9.0640369030049e-05, 'epoch': 4.99}
{'loss': 2.1675, 'grad_norm': 0.29167431592941284, 'learning_rate': 9.054582202764175e-05, 'epoch': 5.01}
{'loss': 1.4931, 'grad_norm': 0.1656983643770218, 'learning_rate': 9.045084971874738e-05, 'epoch': 5.04}
{'loss': 1.3914, 'grad_norm': 0.17469613254070282, 'learning_rate': 9.035545309958046e-05, 'epoch': 5.06}
{'loss': 1.4508, 'grad_norm': 0.16466017067432404, 'learning_rate': 9.025963317080641e-05, 'epoch': 5.09}
{'loss': 1.4906, 'grad_norm': 0.174841046333313, 'learning_rate': 9.016339093753093e-05, 'epoch': 5.11}
{'loss': 1.4112, 'grad_norm': 0.1761862188577652, 'learning_rate': 9.006672740928952e-05, 'epoch': 5.14}
{'loss': 1.4171, 'grad_norm': 0.152851402759552, 'learning_rate': 8.99696436000368e-05, 'epoch': 5.16}
{'loss': 1.414, 'grad_norm': 0.15332236886024475, 'learning_rate': 8.987214052813604e-05, 'epoch': 5.19}
{'loss': 1.3964, 'grad_norm': 0.1661083698272705, 'learning_rate': 8.977421921634832e-05, 'epoch': 5.22}
{'loss': 1.478, 'grad_norm': 0.17044571042060852, 'learning_rate': 8.967588069182185e-05, 'epoch': 5.24}
{'loss': 1.3746, 'grad_norm': 0.1615850180387497, 'learning_rate': 8.957712598608123e-05, 'epoch': 5.27}
{'loss': 1.4001, 'grad_norm': 0.15931957960128784, 'learning_rate': 8.947795613501658e-05, 'epoch': 5.29}
{'loss': 1.4239, 'grad_norm': 0.1521277129650116, 'learning_rate': 8.937837217887273e-05, 'epoch': 5.32}
{'loss': 1.4795, 'grad_norm': 0.16572502255439758, 'learning_rate': 8.927837516223824e-05, 'epoch': 5.34}
{'loss': 1.3945, 'grad_norm': 0.15655027329921722, 'learning_rate': 8.917796613403451e-05, 'epoch': 5.37}
{'loss': 1.4241, 'grad_norm': 0.1576923131942749, 'learning_rate': 8.907714614750473e-05, 'epoch': 5.39}
{'loss': 1.4467, 'grad_norm': 0.15950874984264374, 'learning_rate': 8.897591626020284e-05, 'epoch': 5.42}
{'loss': 1.4035, 'grad_norm': 0.15671324729919434, 'learning_rate': 8.887427753398248e-05, 'epoch': 5.44}
{'loss': 1.3863, 'grad_norm': 0.15410670638084412, 'learning_rate': 8.877223103498575e-05, 'epoch': 5.47}
{'loss': 1.4794, 'grad_norm': 0.1599292904138565, 'learning_rate': 8.86697778336322e-05, 'epoch': 5.49}
{'loss': 1.3943, 'grad_norm': 0.16357621550559998, 'learning_rate': 8.856691900460739e-05, 'epoch': 5.52}
{'loss': 1.389, 'grad_norm': 0.15956899523735046, 'learning_rate': 8.846365562685177e-05, 'epoch': 5.54}
{'loss': 1.4093, 'grad_norm': 0.15599146485328674, 'learning_rate': 8.835998878354931e-05, 'epoch': 5.57}
{'loss': 1.4095, 'grad_norm': 0.15169759094715118, 'learning_rate': 8.825591956211614e-05, 'epoch': 5.59}
